ITWAC	allora quasi	esordiente	?	?	DET ADV NOUN	era all' occasione della recensione di un libro di william t. vollmann ( al quale accomunava	l' allora quasi esordiente	wallace ) , thirteen stories and thirteen epitaphs .
ITWAC	allora quasi	esordiente	?	?	DET ADV NOUN	storia è stata scritta da dennis o ' neil , noto scrittore e supervisore dell' uomo pipistrello , e disegnata	dall' allora quasi esordiente	barry kitson , ancora lontano dai suoi livelli attuali .
ITWAC	allora quasi	esordiente	?	?	DET ADV NOUN	scritta da jim starlin e disegnata	dall' allora quasi esordiente	mike mignola , riprende i classici personaggi creati da jack kirby : i new gods , darkseid e etrigan il demone
ITWAC	allora quasi	ignoto	?	?	DET ADV NOUN	a babbo romano , a mamma flavia , al fratellone giorgio , persino a quello scienziato della politica	dell' allora quasi ignoto	arturo parisi .
