NOUN	WIKICONLL	ITWAC	REPUBBLICA
ceausescu	0	0	12
riscatto	0	0	1
bergamo	0	0	1
agnes	0	0	2
boniperti	0	0	3
rinaldi	0	0	1
morte	0	7	2
unità	0	1	2
bianco	0	0	1
seduta	0	0	1
noriega	0	0	1
amadeus	0	0	1
furto	0	0	1
muro	0	10	38
discoteca	1	24	26
brecht	0	0	2
fininvest	0	0	1
piovra	0	0	1
camper	0	0	1
pasqua	0	2	4
conflitto	0	16	5
maifredi	0	0	2
bacon	0	0	1
mondiali	0	0	1
contratti	0	0	1
riunificazione	0	1	7
basket	0	0	1
estate	0	2	5
quotazione	0	0	1
saddam	1	1	25
palio	0	1	1
olimpiade	0	1	1
legge	0	1	2
resistenza	0	0	6
liberazione	3	4	6
invasione	2	2	4
hussein	0	0	4
mammì	0	0	2
atlanta	0	0	7
processo	0	0	1
lombardfin	0	0	1
unificazione	0	1	1
fabbri	0	0	1
argentina	0	0	1
rimini	0	0	2
maradona	0	0	14
erasmus	0	0	1
cantine	0	0	1
gluck	0	0	1
kuwait	0	0	1
mogol	0	0	2
shevardnadze	0	0	1
feste	0	2	1
siad	0	0	3
berlusconi	0	4	27
sarcinelli	0	0	3
alga	0	0	1
attacco	0	3	2
vassalli	0	0	2
golfo	0	0	14
carnevale	0	0	1
regime	0	2	2
naufragio	0	0	1
andreotti	0	0	4
stangata	0	0	1
mohammed	0	0	1
barucci	0	0	1
imola	0	0	1
cariglia	0	0	1
proiezione	0	0	1
apartheid	0	10	5
esplosione	0	3	1
opec	0	0	2
gardini	0	0	3
danimarca	0	0	1
tacconi	0	0	1
malattia	0	1	2
rauti	0	0	1
cronometro	0	0	1
tour	0	0	1
comunismo	0	2	11
giro	0	1	1
beffa	0	0	1
grassi	0	0	1
urss	0	0	13
dc	0	0	5
longarini	0	0	1
colpo	0	0	1
agnelli	0	0	8
cattani	0	0	1
coppe	0	0	1
cska	0	0	1
prost	0	0	1
sugar	0	0	1
eroi	0	0	1
quirinale	0	0	6
brescia	0	0	2
rapimento	0	0	1
maxwell	0	0	1
napoleone	0	0	1
maastricht	0	0	24
scuola	0	83	5
benvenuti	0	0	1
sosta	0	1	1
hiroshima	0	0	2
pininfarina	0	0	1
lima	0	0	5
bagnoli	0	0	1
barba	0	7	7
gheddafi	0	0	1
cossiga	0	0	3
kinnock	0	0	1
marcinkus	0	0	1
mannino	0	0	1
hollywood	0	0	2
milano	0	0	1
expo	0	0	4
forlani	0	0	3
plaza	0	0	1
copenaghen	0	0	1
csi	0	0	1
versailles	0	0	1
rio	0	0	1
stretta	0	0	1
wagner	0	0	1
mennea	0	0	1
gorby	0	0	1
incontro	1	2	1
tangentopoli	0	1	40
eduardo	0	0	2
daye	0	0	1
del	0	0	4
amato	0	0	16
mantova	0	0	3
piombino	0	0	1
incidenti	0	0	1
baresi	0	0	5
salvo	0	0	1
bettino	0	0	2
ciclone	0	0	1
falcone	0	0	2
gelli	0	0	1
avvocato	0	2	2
romiti	0	0	22
abete	0	0	3
contatore	0	0	1
gamba	0	0	1
francesco	0	0	1
giornata	0	0	1
show	0	1	2
capodanno	0	0	1
riina	0	0	1
fedit	0	0	1
festival	3	21	11
parigi	0	0	1
cattura	0	3	2
ciampi	0	0	5
liquidazione	0	0	1
derby	0	10	3
tangenti	0	0	1
lockerbie	0	0	1
pioggia	0	1	1
denuncia	0	0	1
onesti	0	0	1
san	0	0	2
modugno	0	0	1
borsano	0	0	1
boom	1	4	3
cagliari	0	0	2
sacchi	0	0	5
disastro	1	3	2
marzo	0	0	1
monito	0	0	1
di	0	1	2
balbo	0	0	1
lentini	0	0	1
sade	0	0	1
biscardi	0	0	1
partiti	0	0	1
carosello	0	0	1
mike	0	0	1
rai	0	0	3
crotone	0	0	1
zoff	0	0	2
ferreri	0	0	1
kohl	0	0	17
strehler	0	0	3
confronto	0	0	1
recessione	0	0	2
eriksson	0	0	1
vendita	0	4	1
pallone	0	0	1
martinazzoli	0	0	2
delors	0	0	4
fabbrica	0	1	2
dini	0	0	21
aumento	0	0	1
tappa	0	1	1
atene	0	0	1
prodi	0	0	17
trentin	0	0	1
occhetto	0	0	2
merloni	0	0	1
veltroni	0	0	1
fidel	0	0	1
ronconi	0	0	2
maniero	0	0	2
professori	0	0	1
mani	0	0	4
nigeria	0	0	3
spedizione	0	0	1
canto	0	0	1
portofino	0	0	1
cavaliere	0	2	1
amore	0	0	1
barcellona	0	0	2
sbarco	0	1	1
digital	0	0	1
ventriglia	0	0	1
acquisto	0	2	1
baggio	0	0	2
peste	0	0	1
manifestazione	0	0	1
matarrese	0	0	2
croazia	0	0	3
tokio	0	0	1
incidente	0	2	2
monti	0	0	1
tennis	0	0	2
prove	0	0	1
scissione	0	2	2
tonino	0	0	1
olocausto	1	1	1
sole	0	5	3
attività	0	0	1
roma	0	0	1
simpson	0	0	1
indurain	0	0	1
ideologismo	0	0	1
ciancimino	0	0	1
slovenia	0	0	1
unione	0	0	2
muccioli	0	0	1
manovra	0	0	2
ottanta	0	0	1
tapie	0	0	1
pentiti	0	0	1
bari	0	0	1
norimberga	0	0	1
parto	0	8	2
decreto	0	2	2
riunione	0	1	2
rabin	0	0	1
natale	0	2	1
bosman	0	0	10
collasso	0	0	1
pechino	0	0	1
g	0	0	1
incendio	0	1	1
sport	0	0	1
mazzotta	0	0	2
cerimonia	0	0	1
mattei	0	0	1
arizona	0	0	1
dakota	0	0	1
marini	0	0	4
gonzalez	0	0	1
ribaltone	0	0	1
europei	0	0	1
silvio	0	0	1
capello	0	0	3
pop	0	0	1
vita	0	6	1
ungheria	0	0	1
montreal	0	0	1
ravanelli	0	0	1
fenice	0	0	1
pippo	0	0	1
divorzio	0	1	1
allenamento	0	1	2
convention	0	2	1
santoro	0	0	1
privatizzazione	0	1	2
porto	0	0	1
sorteggio	0	0	1
wojtyla	0	0	2
operazione	0	1	1
necci	0	0	4
pescara	0	0	1
stalinismo	0	0	1
ciclismo	0	0	1
messa	0	0	1
uomo	0	0	2
desailly	0	0	1
mobutu	0	1	2
prima	0	0	1
tomba	0	0	6
anestesia	0	0	1
verona	0	0	1
lottizzazione	0	0	1
sydney	0	0	1
assad	0	0	1
doping	0	2	1
public	0	0	1
simoni	0	0	2
cesarini	0	0	1
potere	0	0	1
masone	0	0	1
fabiani	0	0	3
inghilterra	0	0	2
incentivi	0	0	7
cacciari	0	0	1
merckx	0	3	1
hinault	0	1	1
iri	0	0	1
dayton	0	3	1
euro	0	14	27
interrogatorio	0	0	1
bertinotti	0	0	1
inter	0	0	1
galgani	0	0	6
